,Title,Pre-Production,Link,start_year,end_year,certificate,runtime,genre,ratings,review,stars,votes
0,Invincible,No,/title/tt6741278/,2021,No Finale yet,18,364 min," Action, Adventure            ",8.8,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz","46,788"
1,Castlevania,No,/title/tt6517102/,2017,2021,18,23 min," Action, Adventure            ",8.2,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,"Richard Armitage,Alejandra Reynoso,James Callis,Theo James","44,280"
2,Shingeki no kyojin,No,/title/tt2560140/,2013,2021,13,24 min," Action, Adventure            ",9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Yûki Kaji,Marina Inoue,Josh Grelle,Yui Ishikawa","228,458"
3,Kimetsu no Yaiba: Mugen Ressha-Hen,No,/title/tt11032374/,2020,No Finale yet,R,117 min," Action, Adventure            ",8.5,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.","Haruo Sotozaki,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono","17,842"
4,Demon Slayer: Kimetsu No Yaiba,No,/title/tt9335498/,2019,No Finale yet,16,25 min," Action, Fantasy            ",8.7,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae,Zach Aguilar,Abby Trott,Aleks Le","38,125"
5,Boku no hîrô akademia,No,/title/tt5626028/,2016,No Finale yet,16,24 min," Action, Adventure            ",8.5,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,"Daiki Yamashita,Nobuhiko Okamoto,Ayane Sakura,Kaito Ishikawa","40,401"
6,One Piece: Wan pîsu,No,/title/tt0388629/,1999,No Finale yet,7,24 min," Action, Adventure            ",8.8,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Mayumi Tanaka,Tony Beck,Laurent Vernin,Akemi Okamura","76,001"
7,Masters of the Universe: Revelation,Yes,/title/tt10826054/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
8,Avatar: The Last Airbender,No,/title/tt0417299/,2005,2008,U,23 min," Action, Adventure            ",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena","257,613"
9,Jujutsu Kaisen,Yes,/title/tt12343534/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
10,Yasuke,No,/title/tt9310330/,2021,No Finale yet,18,30 min," Action, Adventure            ",6.3,"He came from Africa and fought alongside a mighty feudal lord in brutal 16th century Japan. They called him the Black Samurai, and he became a legend.","LaKeith Stanfield,Maya Tanida,William Christopher Stephens,Darren Criss","2,657"
11,Death Note: Desu nôto,No,/title/tt0877057/,2006,2007,16+,24 min," Crime, Drama            ",9.0,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô","252,096"
